1.835000,3.736000
1.836000,3.737000
1.836000,3.738000
1.836000,3.739000
1.837000,3.739000
1.837000,3.740000
1.837000,3.741000
1.837000,3.744000
1.837000,3.746000
1.838000,3.749000
1.838000,3.755000
1.839000,3.766000
1.840000,3.776000
1.841000,3.783000
1.843000,3.787000
1.845000,3.786000
1.848000,3.778000
1.850000,3.771000
1.853000,3.768000
1.855000,3.766000
1.857000,3.765000
1.859000,3.765000
1.862000,3.766000
1.864000,3.768000
1.867000,3.773000
1.869000,3.782000
1.871000,3.792000
1.873000,3.799000
1.874000,3.805000
1.875000,3.810000
1.877000,3.814000
1.879000,3.821000
1.880000,3.829000
1.882000,3.837000
1.883000,3.843000
1.884000,3.847000
1.884000,3.847000
