CH1,CH2,CH3,CH4,CH5,CH6,Frame Counter,Timestamp
4.494,0.000,0.000,0.000,0.000,0.000,52148,14:09:43
4.494,0.000,0.000,0.000,0.000,0.000,52149,14:09:43
4.491,0.000,0.000,0.000,0.000,0.000,52150,14:09:43
4.491,0.000,0.000,0.000,0.000,0.000,52151,14:09:43
4.488,0.000,0.000,0.000,0.000,0.000,52152,14:09:43
4.489,0.000,0.000,0.000,0.000,0.000,52153,14:09:43
4.486,0.000,0.000,0.000,0.000,0.000,52154,14:09:43
4.487,0.000,0.000,0.000,0.000,0.000,52155,14:09:43
4.485,0.000,0.000,0.000,0.000,0.000,52156,14:09:43
4.486,0.000,0.000,0.000,0.000,0.000,52157,14:09:43
4.484,0.000,0.000,0.000,0.000,0.000,52158,14:09:43
4.485,0.000,0.000,0.000,0.000,0.000,52159,14:09:43
4.484,0.000,0.000,0.000,0.000,0.000,52160,14:09:43
4.484,0.000,0.000,0.000,0.000,0.000,52161,14:09:43
4.483,0.000,0.000,0.000,0.000,0.000,52162,14:09:43
4.484,0.000,0.000,0.000,0.000,0.000,52163,14:09:43
4.482,0.000,0.000,0.000,0.000,0.000,52164,14:09:43
4.482,0.000,0.000,0.000,0.000,0.000,52165,14:09:43
4.480,0.000,0.000,0.000,0.000,0.000,52166,14:09:43
4.480,0.000,0.000,0.000,0.000,0.000,52167,14:09:43
4.477,0.000,0.000,0.000,0.000,0.000,52168,14:09:43
4.476,0.000,0.000,0.000,0.000,0.000,52169,14:09:43
4.473,0.000,0.000,0.000,0.000,0.000,52170,14:09:43
4.472,0.000,0.000,0.000,0.000,0.000,52171,14:09:43
4.469,0.000,0.000,0.000,0.000,0.000,52172,14:09:43
4.469,0.000,0.000,0.000,0.000,0.000,52173,14:09:43
4.467,0.000,0.000,0.000,0.000,0.000,52174,14:09:43
4.467,0.000,0.000,0.000,0.000,0.000,52175,14:09:43
4.464,0.000,0.000,0.000,0.000,0.000,52176,14:09:43
4.465,0.000,0.000,0.000,0.000,0.000,52177,14:09:43
4.463,0.000,0.000,0.000,0.000,0.000,52178,14:09:43
4.463,0.000,0.000,0.000,0.000,0.000,52179,14:09:43
4.461,0.000,0.000,0.000,0.000,0.000,52180,14:09:43
4.461,0.000,0.000,0.000,0.000,0.000,52181,14:09:43
4.459,0.000,0.000,0.000,0.000,0.000,52182,14:09:43
4.459,0.000,0.000,0.000,0.000,0.000,52183,14:09:43
4.457,0.000,0.000,0.000,0.000,0.000,52184,14:09:43
4.457,0.000,0.000,0.000,0.000,0.000,52185,14:09:43
4.455,0.000,0.000,0.000,0.000,0.000,52186,14:09:43
4.455,0.000,0.000,0.000,0.000,0.000,52187,14:09:43
4.453,0.000,0.000,0.000,0.000,0.000,52188,14:09:43
4.454,0.000,0.000,0.000,0.000,0.000,52189,14:09:43
4.452,0.000,0.000,0.000,0.000,0.000,52190,14:09:43
4.453,0.000,0.000,0.000,0.000,0.000,52191,14:09:43
4.451,0.000,0.000,0.000,0.000,0.000,52192,14:09:43
4.452,0.000,0.000,0.000,0.000,0.000,52193,14:09:43
4.450,0.000,0.000,0.000,0.000,0.000,52194,14:09:43
4.451,0.000,0.000,0.000,0.000,0.000,52195,14:09:43
4.450,0.000,0.000,0.000,0.000,0.000,52196,14:09:43
4.451,0.000,0.000,0.000,0.000,0.000,52197,14:09:43
4.449,0.000,0.000,0.000,0.000,0.000,52198,14:09:43
4.449,0.000,0.000,0.000,0.000,0.000,52199,14:09:43
4.447,0.000,0.000,0.000,0.000,0.000,52200,14:09:43
4.447,0.000,0.000,0.000,0.000,0.000,52201,14:09:43
4.445,0.000,0.000,0.000,0.000,0.000,52202,14:09:43
4.446,0.000,0.000,0.000,0.000,0.000,52203,14:09:43
4.444,0.000,0.000,0.000,0.000,0.000,52204,14:09:43
4.444,0.000,0.000,0.000,0.000,0.000,52205,14:09:43
4.442,0.000,0.000,0.000,0.000,0.000,52206,14:09:43
4.442,0.000,0.000,0.000,0.000,0.000,52207,14:09:43
4.440,0.000,0.000,0.000,0.000,0.000,52208,14:09:43
4.440,0.000,0.000,0.000,0.000,0.000,52209,14:09:43
4.438,0.000,0.000,0.000,0.000,0.000,52210,14:09:43
4.439,0.000,0.000,0.000,0.000,0.000,52211,14:09:43
4.437,0.000,0.000,0.000,0.000,0.000,52212,14:09:43
4.438,0.000,0.000,0.000,0.000,0.000,52213,14:09:43
4.436,0.000,0.000,0.000,0.000,0.000,52214,14:09:43
4.437,0.000,0.000,0.000,0.000,0.000,52215,14:09:43
4.436,0.000,0.000,0.000,0.000,0.000,52216,14:09:43
4.437,0.000,0.000,0.000,0.000,0.000,52217,14:09:43
4.436,0.000,0.000,0.000,0.000,0.000,52218,14:09:43
4.437,0.000,0.000,0.000,0.000,0.000,52219,14:09:43
4.437,0.000,0.000,0.000,0.000,0.000,52220,14:09:43
4.438,0.000,0.000,0.000,0.000,0.000,52221,14:09:43
4.437,0.000,0.000,0.000,0.000,0.000,52222,14:09:43
4.437,0.000,0.000,0.000,0.000,0.000,52223,14:09:43
4.436,0.000,0.000,0.000,0.000,0.000,52224,14:09:43
4.436,0.000,0.000,0.000,0.000,0.000,52225,14:09:43
4.434,0.000,0.000,0.000,0.000,0.000,52226,14:09:43
4.435,0.000,0.000,0.000,0.000,0.000,52227,14:09:43
4.433,0.000,0.000,0.000,0.000,0.000,52228,14:09:43
4.434,0.000,0.000,0.000,0.000,0.000,52229,14:09:43
4.433,0.000,0.000,0.000,0.000,0.000,52230,14:09:43
4.433,0.000,0.000,0.000,0.000,0.000,52231,14:09:43
4.432,0.000,0.000,0.000,0.000,0.000,52232,14:09:43
4.432,0.000,0.000,0.000,0.000,0.000,52233,14:09:43
4.430,0.000,0.000,0.000,0.000,0.000,52234,14:09:43
4.431,0.000,0.000,0.000,0.000,0.000,52235,14:09:43
4.429,0.000,0.000,0.000,0.000,0.000,52236,14:09:44
4.429,0.000,0.000,0.000,0.000,0.000,52237,14:09:44
4.427,0.000,0.000,0.000,0.000,0.000,52238,14:09:44
4.428,0.000,0.000,0.000,0.000,0.000,52239,14:09:44
4.426,0.000,0.000,0.000,0.000,0.000,52240,14:09:44
4.427,0.000,0.000,0.000,0.000,0.000,52241,14:09:44
4.426,0.000,0.000,0.000,0.000,0.000,52242,14:09:44
4.426,0.000,0.000,0.000,0.000,0.000,52243,14:09:44
4.425,0.000,0.000,0.000,0.000,0.000,52244,14:09:44
4.425,0.000,0.000,0.000,0.000,0.000,52245,14:09:44
4.423,0.000,0.000,0.000,0.000,0.000,52246,14:09:44
4.423,0.000,0.000,0.000,0.000,0.000,52247,14:09:44
4.421,0.000,0.000,0.000,0.000,0.000,52248,14:09:44
4.421,0.000,0.000,0.000,0.000,0.000,52249,14:09:44
4.419,0.000,0.000,0.000,0.000,0.000,52250,14:09:44
4.420,0.000,0.000,0.000,0.000,0.000,52251,14:09:44
4.418,0.000,0.000,0.000,0.000,0.000,52252,14:09:44
4.419,0.000,0.000,0.000,0.000,0.000,52253,14:09:44
4.418,0.000,0.000,0.000,0.000,0.000,52254,14:09:44
4.419,0.000,0.000,0.000,0.000,0.000,52255,14:09:44
4.417,0.000,0.000,0.000,0.000,0.000,52256,14:09:44
4.418,0.000,0.000,0.000,0.000,0.000,52257,14:09:44
4.416,0.000,0.000,0.000,0.000,0.000,52258,14:09:44
4.417,0.000,0.000,0.000,0.000,0.000,52259,14:09:44
4.415,0.000,0.000,0.000,0.000,0.000,52260,14:09:44
4.415,0.000,0.000,0.000,0.000,0.000,52261,14:09:44
4.414,0.000,0.000,0.000,0.000,0.000,52262,14:09:44
4.415,0.000,0.000,0.000,0.000,0.000,52263,14:09:44
4.413,0.000,0.000,0.000,0.000,0.000,52264,14:09:44
